Nb of samples distribution|Nb of samples to var|m|mse_var_2|mse_var|mse_var_2 < mse_var
100|100|4|0.00013912854671430274|0.0001396512526063913|False
100|100|10|0.00014485444331228844|0.0001395403767736326|False
100|100|20|0.00012165495894998304|0.00011811504847775134|False
100|500|4|0.000129083351084521|0.00012773942401835258|False
100|500|10|0.00013019786246501388|0.00012590860600303238|False
100|500|20|0.00013272528313441594|0.00012586704513135497|False
100|1000|4|0.00012963502171354897|0.00012886074908763395|False
100|1000|10|0.00013316920487136335|0.0001302970420796837|False
100|1000|20|0.00013520930005302842|0.00012761048355595283|False
500|100|4|2.4436520544759598e-05|2.4263504115592157e-05|False
500|100|10|2.4543806208432904e-05|2.439139427386679e-05|False
500|100|20|2.6810282472204565e-05|2.690363785393591e-05|False
500|500|4|2.505332112663377e-05|2.498817905194889e-05|False
500|500|10|2.566730750724414e-05|2.551483333143294e-05|True
500|500|20|2.6689662137058034e-05|2.647270281203558e-05|False
500|1000|4|2.4463992577288857e-05|2.4436612535187985e-05|True
500|1000|10|2.5368761775019497e-05|2.530592678022987e-05|True
500|1000|20|2.6109283155603304e-05|2.5773674190875187e-05|False
1000|100|4|1.3572115847005015e-05|1.3570326783178763e-05|False
1000|100|10|1.3469903745828485e-05|1.344628686875774e-05|True
1000|100|20|1.251979746626716e-05|1.257427702886664e-05|True
1000|500|4|1.2751131496372499e-05|1.2730588506629459e-05|False
1000|500|10|1.3133516148848762e-05|1.3122827667021842e-05|False
1000|500|20|1.256931342526391e-05|1.252347094076091e-05|True
1000|1000|4|1.2780131127558062e-05|1.278355072448804e-05|False
1000|1000|10|1.299278632603441e-05|1.2955629309679975e-05|False
1000|1000|20|1.2911082186047236e-05|1.2875784839004448e-05|True
