Nb of samples distribution|Nb of samples to var|m|mse_var_2|mse_var|mse_var_2 < mse_var
100|100|4|0.08504284962152428|0.08424777840125434|False
100|100|10|0.08201209600625955|0.08017290127865506|False
100|100|20|0.09364289244588367|0.08828095386133708|False
100|500|4|0.08163102357003293|0.08093282262769277|False
100|500|10|0.08503597705166151|0.0824641126808268|False
100|500|20|0.08855025745373434|0.08342353481216688|False
100|1000|4|0.08216968812591782|0.08145606915095457|False
100|1000|10|0.08070607156364126|0.0787785702799598|False
100|1000|20|0.08324165806473448|0.07901760085270704|False
500|100|4|0.01599569492494168|0.015934272648799635|False
500|100|10|0.01752915723746264|0.01751639927371016|False
500|100|20|0.016233184686824394|0.01620990707362821|False
500|500|4|0.016303278791325336|0.01627628636614547|False
500|500|10|0.016060059746175564|0.015971591036357376|False
500|500|20|0.015954178029643946|0.015836165732150707|False
500|1000|4|0.016153806430762998|0.01613218748724886|False
500|1000|10|0.015670382506145577|0.015597259745771388|False
500|1000|20|0.01621468749752721|0.01604050362331704|False
1000|100|4|0.00813002431694952|0.00813618665040985|True
1000|100|10|0.0075347854899086505|0.007511032342336743|False
1000|100|20|0.007954179976570998|0.008009084696465694|False
1000|500|4|0.008093331999207316|0.008081936411465622|True
1000|500|10|0.00824241446319908|0.008237022315016294|False
1000|500|20|0.008003651685785524|0.007977154519741608|False
1000|1000|4|0.007896262346682642|0.007890596321748381|False
1000|1000|10|0.008048417303510632|0.008032639452804757|False
1000|1000|20|0.008067254778725505|0.008034623622398724|True
