Nb of samples distribution|Nb of samples to var|m|mse_var_2|mse_var|mse_var_2 < mse_var
100|100|4|0.133393402834495|0.07836923098675587|False
100|100|10|0.12143883104455222|0.09136476873230573|False
100|100|20|0.09232542203010904|0.07507088089775649|False
100|500|4|0.14235486457005161|0.07983236488918108|False
100|500|10|0.11183348180470372|0.07904785147505519|False
100|500|20|0.08654489221043213|0.07607698980575782|False
100|1000|4|0.15134473114949581|0.08103962323144716|False
100|1000|10|0.1183943999770122|0.07859669030019575|False
100|1000|20|0.08941685539470559|0.08090559513720261|False
500|100|4|0.030145538833036428|0.016016754763348906|False
500|100|10|0.030027205116280837|0.015947898994528326|False
500|100|20|0.029369067968235425|0.016164443669072034|False
500|500|4|0.031711168821198225|0.0159111900438433|False
500|500|10|0.031161092043847972|0.01623795152110694|False
500|500|20|0.027117438297480083|0.015371705017326358|False
500|1000|4|0.03202790236335276|0.016161568522946142|False
500|1000|10|0.03104361911488484|0.016180998267452746|False
500|1000|20|0.02815201097324117|0.016057115351077518|False
1000|100|4|0.015581278112872746|0.007816498287052139|False
1000|100|10|0.018039357719416515|0.008410317246256353|False
1000|100|20|0.015230421459774796|0.008240097303030661|False
1000|500|4|0.015998043155317773|0.008055318217968096|False
1000|500|10|0.01604286654944709|0.0082368940631437|False
1000|500|20|0.01481088122668343|0.0078666694681464|False
1000|1000|4|0.015646218009010553|0.007840436724433839|False
1000|1000|10|0.015687867032788898|0.008189508269934111|False
1000|1000|20|0.015451260771888648|0.008221441291662|False
Nb of samples distribution|Nb of samples to var|m|mse_var_2|mse_var|mse_var_2 < mse_var
