Nb of samples distribution|Nb of samples to var|m|mse_var_2|mse_var|mse_var_2 < mse_var
100|100|4|5.7464178805819005e-05|5.459156633129392e-05|False
100|100|10|6.886754218845432e-05|5.670479703228348e-05|False
100|100|20|9.147352713460608e-05|5.484370984226622e-05|False
100|500|4|6.069747437723135e-05|5.598328882241632e-05|False
100|500|10|7.085379115947553e-05|5.656968031293065e-05|False
100|500|20|8.890008723144355e-05|5.7548044495956966e-05|False
100|1000|4|6.0556318111187587e-05|5.6072178608930056e-05|False
100|1000|10|7.115317521653845e-05|5.738345033283583e-05|False
100|1000|20|8.96148512688816e-05|5.7390898266065484e-05|False
500|100|4|1.2116822074443035e-05|1.2056003884900037e-05|False
500|100|10|1.1890504241601232e-05|1.1543081718689435e-05|False
500|100|20|1.2474942437361223e-05|1.1296100885503881e-05|False
500|500|4|1.125636628869745e-05|1.1086392475704827e-05|False
500|500|10|1.1792213468100508e-05|1.14046333974112e-05|False
500|500|20|1.2198243738176793e-05|1.114221194311931e-05|False
500|1000|4|1.157367802174219e-05|1.1409459243785653e-05|False
500|1000|10|1.1721941965380998e-05|1.1189509456403143e-05|False
500|1000|20|1.2157722616223602e-05|1.1056653072774704e-05|False
1000|100|4|5.619568390074184e-06|5.54507519636209e-06|False
1000|100|10|5.9515816155566665e-06|5.810144154143812e-06|False
1000|100|20|5.844361185028832e-06|5.607428266565335e-06|True
1000|500|4|5.566628289993527e-06|5.5023784058108125e-06|False
1000|500|10|5.66175500929111e-06|5.537737998108886e-06|False
1000|500|20|5.892816615189366e-06|5.640150456647442e-06|False
1000|1000|4|5.694476369293826e-06|5.631618046713525e-06|False
1000|1000|10|5.727098427169781e-06|5.619617563291998e-06|False
1000|1000|20|5.916745472078913e-06|5.587891431949955e-06|False
