Nb of samples distribution|Nb of samples to var|m|mse_var_2|mse_var|mse_var_2 < mse_var
100|100|4|0.00012290249109926952|5.6381797267700014e-05|False
100|100|10|0.00012073236215025206|5.7881989596349293e-05|False
100|100|20|0.000126296823901995|5.712918154496318e-05|False
100|500|4|0.0001174166782053724|5.750528420570427e-05|False
100|500|10|0.00012674729564963663|5.706367251338548e-05|False
100|500|20|0.00013154826707714967|5.521939629916649e-05|False
100|1000|4|0.00011869800210601178|5.85207572802513e-05|False
100|1000|10|0.00012267497978018157|5.691726564954599e-05|False
100|1000|20|0.00012917531381592375|5.8043940330955665e-05|False
500|100|4|2.1596286500962597e-05|1.1502187560844806e-05|False
500|100|10|2.2111278415518015e-05|1.171745033930579e-05|False
500|100|20|2.171658878047359e-05|1.0521969814798452e-05|False
500|500|4|2.2928298133003624e-05|1.1529051855762666e-05|False
500|500|10|2.3442982379413758e-05|1.1111227581940847e-05|False
500|500|20|2.3110662899681484e-05|1.1013240002730898e-05|False
500|1000|4|2.2451263113750614e-05|1.0951570746621e-05|False
500|1000|10|2.278933942344577e-05|1.1303577446607656e-05|False
500|1000|20|2.33973260026221e-05|1.1117449454928467e-05|False
1000|100|4|1.1392992439758556e-05|5.448144805876675e-06|False
1000|100|10|1.0976123300983635e-05|5.921690591585894e-06|False
1000|100|20|1.1318667895714548e-05|5.838562508631762e-06|False
1000|500|4|1.1218815959310633e-05|5.6320356915714e-06|False
1000|500|10|1.132001127935051e-05|5.544109554928763e-06|False
1000|500|20|1.1549040767280569e-05|5.6583722004246175e-06|False
1000|1000|4|1.0990743007083053e-05|5.516348311792643e-06|False
1000|1000|10|1.1239257248000495e-05|5.7191233413295906e-06|False
1000|1000|20|1.1819213530340114e-05|5.7111639956420124e-06|False
