x,y
2,-0.08713946117813717
3,-0.02400014886453615
4,-0.010973085760746282
5,-0.005453260857700412
6,-0.0032583423668572746
7,-0.00198477079269856
8,-0.0011874350090013992
9,-0.0011830997027087488
10,-0.0008549663913228426
11,-0.0006064832000658282
12,-0.0004801372755158795
13,-0.0005365123240942734
14,-0.00034331130348305965
15,-0.00024254873855260317
16,-0.00021722127330787988
17,-0.00020953982042846465
18,-0.0001568722223296683
19,-0.00011602236945763844
20,-0.0001127775780050428
21,-0.00013247311036794322
22,-8.718519849763417e-05
23,-3.7938645045338705e-05
24,-8.416755632657813e-05
25,-5.039330742136628e-05
26,-4.9408475514050795e-05
27,-4.1281832784515176e-05
28,-3.865065881473442e-05
29,-3.350521914454027e-05
30,-3.1628262217120104e-05
31,-7.484661431727407e-06
32,-2.9791769534136432e-05
33,-1.5760007381506076e-05
34,-2.4339005192816187e-05
35,9.845249571531923e-06
36,-6.143093397509899e-06
37,-1.4715565524604356e-05
38,-8.868141850750747e-06
39,-3.478411873687184e-05
40,-8.455035138090015e-06
41,2.692114066889066e-06
42,1.0869970327975244e-05
43,5.638388403503888e-06
44,1.5306979942855247e-05
45,1.2544890816341449e-06
46,3.635858033494612e-06
47,4.065681536813241e-07
48,1.9574201350114383e-05
49,-3.2783372752548216e-06
